Symbol
3MINDIA
AARTIIND
AAVAS
ABB
ABBOTINDIA
ABCAPITAL
ABREL
ACC
ADANIENSOL
ADANIPOWER
ADVENZYMES
AEGISLOG
AFFLE
AGCNETWO
AIAENG
AKZOINDIA
ALKEM
ALLCARGO
ALTOS
AMBALAL
AMBER
AMBUJACEM
APLAPOLLO
APOLLOHOSP
APOLLOTYRE
APPAPER
APPLE
ARVIND
ASHOKLEY
ASIANPAINT
ASTERDM
ASTRAZENCA
ATGL
ATUL
ATULAUTO
AUBANK
AVANTIFEED
AVERY
AXISBANK
BAJAJ
BAJAJ-AUTO
BAJAJHLDNG
BAJFINANCE
BALMLAWRIE
BALRAMCHIN
BANKBARODA
BASF
BATAINDIA
BAYERCROP
BBTC
BDL
BEL
BEML
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BI
BIOCON
BIRLACORPN
BLISSGVS
BLUEDART
BLUESTARCO
BOMDYEING
BOSCH-HCIL
BOSCHLTD
BPCL
BRIGADE
BRITANNIA
BSE
BSOFT
CABLE
CANBK
CANFINHOME
CAPLIN
CARTRADE
CASTROLIND
CCL
CDSL
CEATLTD
CENTRALBK
CENTURYTEX
CERA
CESC
CGCL
CHAMBLFERT
CHEMINOR
CHENNPETRO
CHETTINAD
CHOLAFIN
CHOLAHLDNG
CIPLA
CMC
COALINDIA
COCHINSHIP
COFORGE
COLPAL
CONCOR
CONSOFINVT
COROMANDEL
CREDITACC
CRISIL
CROMPTON
CSBBANK
CUB
CUMMINSIND
CYBERTECH
DABUR
DALMIASUG
DBCORP
DCAL
DCLPOLYE
DCW
DEEPAKFERT
DEEPAKNTR
DEVYANI
DHAMPURSUG
DICIND
DIGJAMLMTD
DISHTV
DLF
DMART
DRREDDY
DSQSOFTW
ECLERX
EICHERMOT
EIDPARRY
EIHOTEL
ELECON
ELGIEQUIP
ELGIRUBCO
ENDURANCE
ENERGY
ENGINERSIN
ERIS
ESABINDIA
ESCORTS
ESSAR
EXCELINDUS
EXIDEIND
FACT
FDC
FEDERALBNK
FINCABLES
FLUOROCHEM
FORTIS
FOSECOIND
FULFORD
GAEL
GAIL
GALAXYSURF
GANESHBE
GARDEN
GARWARE
GESHIP
GHCL
GICRE
GILLETTE
GLAND
GLAXO
GLENMARK
GLFL
GMDCLTD
GMMPFAUDLR
GNFC
GODFRYPHLP
GODREJAGRO
GODREJCP
GODREJIND
GOKEX
GOODRICKE
GOODYEAR
GPPL
GRANULES
GRAPHITE
GRASIM
GREAVESCOT
